16:09:46:703776,8
16:09:46:715680,8
16:09:46:727588,8
16:09:46:739579,8
16:09:46:751562,8
16:09:46:763521,8
16:09:46:775504,9
16:09:46:787482,8
16:09:46:798431,8
16:09:46:810480,8
16:09:46:822454,8
16:09:46:834430,9
16:09:46:846536,8
16:09:46:858513,8
16:09:46:870612,8
16:09:46:882610,8
16:09:46:894701,9
16:09:46:906621,9
16:09:46:918562,9
16:09:46:930504,8
16:09:46:942531,9
16:09:46:954549,9
16:09:46:966527,9
16:09:46:978753,10
16:09:46:990526,12
16:09:47:001607,14
16:09:47:013481,21
16:09:47:025531,28
16:09:47:037903,33
16:09:47:050138,39
16:09:47:061907,46
16:09:47:073612,54
16:09:47:085963,63
16:09:47:098128,70
16:09:47:110038,77
16:09:47:122316,83
16:09:47:134278,85
16:09:47:146252,88
16:09:47:158147,87
16:09:47:170210,88
16:09:47:182285,91
16:09:47:193228,90
16:09:47:205257,87
16:09:47:216876,85
16:09:47:228792,81
16:09:47:240750,78
16:09:47:252881,76
16:09:47:264855,70
16:09:47:276846,63
16:09:47:288821,58
16:09:47:300840,52
16:09:47:312811,46
16:09:47:324883,39
16:09:47:337056,33
16:09:47:348939,27
16:09:47:360733,22
16:09:47:372807,19
16:09:47:384839,15
16:09:47:396036,11
16:09:47:407705,11
16:09:47:419901,12
16:09:47:431993,11
16:09:47:443935,6
16:09:47:456075,3
16:09:47:468025,5
16:09:47:479780,13
16:09:47:492092,15
16:09:47:504092,21
16:09:47:516080,27
16:09:47:528065,32
16:09:47:540105,38
16:09:47:552074,47
16:09:47:564063,55
16:09:47:576076,62
16:09:47:588185,69
16:09:47:599201,74
16:09:47:611193,78
16:09:47:622922,80
16:09:47:635082,81
16:09:47:647178,82
16:09:47:659143,85
16:09:47:671184,86
16:09:47:683208,85
16:09:47:694980,83
16:09:47:706866,81
16:09:47:718774,79
16:09:47:730850,75
16:09:47:742827,73
16:09:47:754943,70
16:09:47:766870,65
16:09:47:778860,60
16:09:47:790848,53
16:09:47:802101,47
16:09:47:814068,42
16:09:47:825940,35
16:09:47:838106,30
16:09:47:850085,25
16:09:47:862062,19
16:09:47:874065,17
16:09:47:886043,15
16:09:47:898166,13
16:09:47:910062,12
16:09:47:922021,11
16:09:47:934326,9
16:09:47:946313,5
16:09:47:958323,6
16:09:47:969986,10
16:09:47:982071,15
16:09:47:992962,17
16:09:48:004872,21
16:09:48:017100,25
16:09:48:029176,31
16:09:48:040962,38
16:09:48:052874,45
16:09:48:064916,52
16:09:48:076878,59
16:09:48:088846,64
16:09:48:100866,70
16:09:48:113145,74
16:09:48:124998,76
16:09:48:136895,76
16:09:48:149124,78
16:09:48:161117,82
16:09:48:173147,83
16:09:48:184885,81
16:09:48:196108,80
16:09:48:208289,78
16:09:48:220073,77
16:09:48:232342,74
16:09:48:244334,72
16:09:48:256079,70
16:09:48:268088,66
16:09:48:280116,60
16:09:48:292124,55
16:09:48:304090,49
16:09:48:316098,43
16:09:48:328097,37
16:09:48:339997,31
16:09:48:352109,26
16:09:48:364083,22
