21:34:46:015716,2
21:34:46:026515,1
21:34:46:038746,1
21:34:46:050977,0
21:34:46:062841,0
21:34:46:074562,0
21:34:46:086525,0
21:34:46:099119,1
21:34:46:110913,0
21:34:46:122458,0
21:34:46:134394,0
21:34:46:146347,0
21:34:46:158151,0
21:34:46:170203,0
21:34:46:182146,0
21:34:46:194411,0
21:34:46:206395,0
21:34:46:218255,1
21:34:46:229364,1
21:34:46:241190,0
21:34:46:253239,0
21:34:46:265273,0
21:34:46:277182,1
21:34:46:289199,0
21:34:46:301367,0
21:34:46:313356,0
21:34:46:325441,1
21:34:46:337398,0
21:34:46:349453,0
21:34:46:361470,0
21:34:46:373381,0
21:34:46:385212,0
21:34:46:397329,0
21:34:46:408385,0
21:34:46:420394,0
21:34:46:432363,0
21:34:46:444382,0
21:34:46:456397,0
21:34:46:468388,0
21:34:46:480374,0
21:34:46:492395,0
21:34:46:504363,0
21:34:46:516372,0
21:34:46:528392,0
21:34:46:540521,0
21:34:46:552424,0
21:34:46:564446,0
21:34:46:576469,0
21:34:46:588379,0
21:34:46:600364,0
21:34:46:612527,0
21:34:46:624461,0
21:34:46:636412,0
21:34:46:647548,0
21:34:46:659430,0
21:34:46:671505,0
21:34:46:683437,0
21:34:46:695386,0
21:34:46:707174,0
21:34:46:719202,0
21:34:46:731312,0
21:34:46:743416,0
21:34:46:755420,0
21:34:46:767241,0
21:34:46:779327,0
21:34:46:791199,1
21:34:46:803179,0
21:34:46:815199,0
21:34:46:827148,0
21:34:46:838351,0
21:34:46:850310,0
21:34:46:862335,1
21:34:46:874451,1
21:34:46:886390,0
21:34:46:898215,0
21:34:46:910428,0
21:34:46:922358,0
21:34:46:934306,0
21:34:46:946346,0
21:34:46:958306,0
21:34:46:970335,0
21:34:46:982338,0
21:34:46:994363,0
21:34:47:006517,0
21:34:47:018385,0
21:34:47:030439,0
21:34:47:042386,0
21:34:47:054463,1
21:34:47:066438,0
21:34:47:078480,1
21:34:47:089226,1
21:34:47:101181,0
21:34:47:113156,0
21:34:47:125164,0
21:34:47:137149,0
21:34:47:149156,0
21:34:47:161188,0
21:34:47:173161,0
21:34:47:185298,0
21:34:47:197159,0
21:34:47:209203,1
21:34:47:221168,0
21:34:47:233452,0
21:34:47:245441,0
21:34:47:257451,0
21:34:47:269435,0
21:34:47:281511,0
21:34:47:293384,0
21:34:47:305431,1
21:34:47:316234,1
21:34:47:328168,0
21:34:47:340156,0
21:34:47:352150,0
21:34:47:364269,1
21:34:47:377377,0
21:34:47:388239,0
21:34:47:400154,1
21:34:47:412178,1
21:34:47:424282,0
21:34:47:436199,0
21:34:47:448182,0
21:34:47:460203,0
21:34:47:472226,0
21:34:47:483361,0
21:34:47:495360,0
21:34:47:507399,0
21:34:47:519381,1
21:34:47:531454,1
21:34:47:543517,1
21:34:47:555295,0
21:34:47:567642,0
21:34:47:579443,0
21:34:47:591447,1
21:34:47:603452,1
21:34:47:615438,0
21:34:47:627379,0
21:34:47:639366,0
21:34:47:651432,0
21:34:47:663431,1
21:34:47:675269,0
21:34:47:687435,0
21:34:47:699419,0
21:34:47:711412,1
21:34:47:723411,1
21:34:47:734453,1
21:34:47:746487,1
21:34:47:758419,1
21:34:47:770478,0
21:34:47:783416,0
21:34:47:794286,0
21:34:47:806449,0
21:34:47:818448,0
21:34:47:830316,0
21:34:47:842321,0
21:34:47:854289,0
21:34:47:866441,0
21:34:47:878431,0
21:34:47:890241,0
21:34:47:902232,1
21:34:47:914457,2
21:34:47:925445,1
21:34:47:937468,0
21:34:47:949466,0
21:34:47:961464,0
21:34:47:973462,1
21:34:47:985465,0
21:34:47:997345,0
21:34:48:009470,0
21:34:48:021352,0
21:34:48:033503,0
21:34:48:045552,0
21:34:48:057437,0
21:34:48:069318,1
21:34:48:081523,0
21:34:48:093448,0
21:34:48:105456,0
21:34:48:117265,0
21:34:48:129427,1
21:34:48:141329,0
21:34:48:153540,0
21:34:48:164486,0
21:34:48:176416,1
21:34:48:189396,0
21:34:48:200332,0
21:34:48:212416,0
21:34:48:224340,0
21:34:48:236439,0
21:34:48:248446,0
21:34:48:260500,0
21:34:48:272401,0
21:34:48:284446,0
21:34:48:296393,1
21:34:48:308504,1
21:34:48:320464,0
21:34:48:332463,1
21:34:48:344576,1
21:34:48:356638,0
21:34:48:368616,0
21:34:48:379622,0
21:34:48:392529,1
21:34:48:403520,1
21:34:48:415577,0
21:34:48:427579,0
21:34:48:439549,0
21:34:48:451496,0
21:34:48:463557,0
21:34:48:475563,1
21:34:48:487534,1
21:34:48:499544,0
21:34:48:511571,0
21:34:48:523547,0
21:34:48:535446,1
21:34:48:547482,0
21:34:48:559557,1
21:34:48:571449,1
21:34:48:583480,0
21:34:48:595479,0
21:34:48:607514,0
21:34:48:618449,0
21:34:48:630476,0
21:34:48:642478,1
21:34:48:654457,0
21:34:48:666339,0
21:34:48:678467,1
21:34:48:690501,1
21:34:48:702463,0
21:34:48:714342,0
21:34:48:726373,0
21:34:48:738360,0
21:34:48:750478,0
21:34:48:762365,0
21:34:48:774583,0
21:34:48:786423,0
21:34:48:797525,0
21:34:48:810374,1
21:34:48:822575,1
21:34:48:833448,0
21:34:48:845493,0
21:34:48:857461,0
21:34:48:869499,1
21:34:48:881500,1
21:34:48:893362,1
21:34:48:905629,0
21:34:48:917391,0
21:34:48:929504,0
21:34:48:941498,0
21:34:48:953435,0
21:34:48:965501,0
21:34:48:977482,1
21:34:48:989376,1
21:34:49:001507,0
21:34:49:013507,0
21:34:49:024498,0
21:34:49:037600,0
21:34:49:048499,0
21:34:49:060449,0
21:34:49:072391,0
21:34:49:084401,0
21:34:49:096531,0
21:34:49:108406,1
21:34:49:120471,1
21:34:49:132481,1
21:34:49:144474,1
21:34:49:156492,0
21:34:49:168471,0
21:34:49:180440,0
21:34:49:192381,0
21:34:49:204424,0
21:34:49:216528,0
21:34:49:228496,0
21:34:49:240541,0
21:34:49:251500,0
21:34:49:263484,0
21:34:49:276506,0
21:34:49:287268,0
21:34:49:299259,0
21:34:49:311323,0
21:34:49:323275,0
21:34:49:335242,0
21:34:49:347242,0
21:34:49:359396,1
21:34:49:371267,1
21:34:49:383304,0
21:34:49:395248,0
21:34:49:407318,0
21:34:49:419166,0
21:34:49:431290,0
21:34:49:443260,0
21:34:49:455275,0
21:34:49:466451,1
21:34:49:478437,1
21:34:49:490434,1
21:34:49:502410,1
21:34:49:514420,1
21:34:49:526432,0
21:34:49:538554,0
21:34:49:550401,0
21:34:49:562470,0
21:34:49:574424,1
21:34:49:586386,1
21:34:49:598499,1
21:34:49:610558,0
21:34:49:623563,0
21:34:49:634623,0
21:34:49:646555,0
21:34:49:658675,0
21:34:49:670594,0
21:34:49:682571,0
21:34:49:694618,0
