00:33:38:883632,26
00:33:38:894516,26
00:33:38:906325,26
00:33:38:918212,26
00:33:38:930268,26
00:33:38:942274,26
00:33:38:954396,25
00:33:38:966312,26
00:33:38:978396,26
00:33:38:990480,26
00:33:39:002194,26
00:33:39:013256,26
00:33:39:025133,26
00:33:39:037138,26
00:33:39:049146,26
00:33:39:061135,26
00:33:39:073269,26
00:33:39:085376,26
00:33:39:097162,26
00:33:39:109251,26
00:33:39:121260,25
00:33:39:133292,26
00:33:39:145465,26
00:33:39:157402,27
00:33:39:169715,34
00:33:39:181687,59
00:33:39:192659,152
00:33:39:204524,298
00:33:39:216711,511
00:33:39:228697,755
00:33:39:240730,982
00:33:39:252420,1223
00:33:39:264601,1430
00:33:39:276694,1617
00:33:39:288343,1742
00:33:39:300355,1798
00:33:39:312344,1818
00:33:39:324350,1819
00:33:39:336394,1819
00:33:39:348687,1819
00:33:39:359521,1819
00:33:39:371583,1819
00:33:39:383529,1818
00:33:39:395377,1819
00:33:39:407338,1819
00:33:39:419450,1817
00:33:39:431724,1796
00:33:39:443568,1753
00:33:39:455374,1687
00:33:39:467558,1593
00:33:39:479361,1477
00:33:39:491372,1322
00:33:39:503724,1157
00:33:39:515487,990
00:33:39:527696,802
00:33:39:539657,627
00:33:39:550732,475
00:33:39:562416,347
00:33:39:574437,263
00:33:39:586694,214
00:33:39:598747,204
00:33:39:610412,204
00:33:39:622725,205
00:33:39:634297,211
00:33:39:654753,239
00:33:39:658514,295
00:33:39:670707,370
00:33:39:682695,463
00:33:39:694688,603
00:33:39:706715,766
00:33:39:718419,930
00:33:39:729447,1123
00:33:39:741914,1324
00:33:39:753783,1509
00:33:39:765570,1684
00:33:39:777716,1812
00:33:39:789725,1887
00:33:39:801404,1916
00:33:39:813302,1921
00:33:39:825219,1921
00:33:39:837228,1921
00:33:39:849541,1922
00:33:39:861695,1921
00:33:39:873568,1921
00:33:39:885547,1921
00:33:39:897714,1921
00:33:39:908435,1918
00:33:39:920763,1901
00:33:39:932698,1866
00:33:39:944732,1816
00:33:39:956707,1742
00:33:39:968430,1650
00:33:39:980805,1525
00:33:39:992706,1387
00:33:40:004560,1225
00:33:40:016367,1054
00:33:40:028307,887
00:33:40:040207,713
00:33:40:052282,557
00:33:40:064262,440
00:33:40:076256,354
00:33:40:087293,318
00:33:40:099592,315
00:33:40:111738,315
00:33:40:123788,316
00:33:40:135330,319
00:33:40:147522,349
00:33:40:159705,409
00:33:40:171545,482
00:33:40:183706,593
00:33:40:195380,731
00:33:40:207489,876
00:33:40:219504,1050
00:33:40:231750,1237
00:33:40:243748,1415
00:33:40:255752,1599
00:33:40:266719,1742
00:33:40:278451,1857
00:33:40:290378,1929
00:33:40:302739,1952
00:33:40:314339,1957
00:33:40:326254,1958
00:33:40:338238,1958
00:33:40:350327,1958
00:33:40:362673,1958
00:33:40:374332,1958
00:33:40:386472,1958
00:33:40:398733,1958
00:33:40:410754,1957
00:33:40:422609,1941
00:33:40:434717,1903
00:33:40:445580,1849
00:33:40:457474,1772
00:33:40:469664,1663
00:33:40:481567,1544
00:33:40:493750,1394
00:33:40:505709,1233
00:33:40:517818,1081
00:33:40:529361,903
00:33:40:541720,733
00:33:40:553746,595
00:33:40:565638,471
00:33:40:577668,396
00:33:40:589694,363
00:33:40:601754,360
00:33:40:613527,360
00:33:40:625513,361
00:33:40:636646,366
00:33:40:648679,400
00:33:40:660802,452
00:33:40:672584,539
00:33:40:684623,648
00:33:40:696545,783
00:33:40:708548,941
00:33:40:720835,1101
00:33:40:732776,1288
00:33:40:744777,1483
00:33:40:756769,1646
00:33:40:768747,1795
00:33:40:780764,1907
00:33:40:792795,1962
00:33:40:804778,1984
00:33:40:815458,1989
00:33:40:827403,1988
00:33:40:839307,1989
00:33:40:851345,1988
00:33:40:863762,1988
00:33:40:875700,1988
00:33:40:887499,1988
00:33:40:899803,1989
00:33:40:911408,1987
00:33:40:923357,1969
00:33:40:935297,1931
00:33:40:947291,1873
00:33:40:959272,1790
00:33:40:971725,1692
00:33:40:983583,1560
00:33:40:995781,1406
00:33:41:006517,1254
00:33:41:018783,1088
00:33:41:030522,909
00:33:41:042777,756
00:33:41:054807,612
00:33:41:066543,502
00:33:41:078865,424
00:33:41:090670,401
00:33:41:102779,400
00:33:41:114753,401
00:33:41:126492,401
00:33:41:138794,405
00:33:41:150782,433
00:33:41:162673,497
00:33:41:174794,580
00:33:41:186640,697
00:33:41:197768,838
00:33:41:209593,982
00:33:41:221852,1157
00:33:41:233702,1347
00:33:41:245650,1521
00:33:41:257717,1691
00:33:41:269804,1831
00:33:41:281665,1928
00:33:41:293742,1980
00:33:41:305784,1995
00:33:41:317510,1996
00:33:41:329366,1996
00:33:41:341258,1996
00:33:41:353469,1995
00:33:41:365401,1995
00:33:41:377669,1996
00:33:41:388821,1996
00:33:41:400784,1995
00:33:41:412660,1994
00:33:41:424800,1974
00:33:41:436793,1930
00:33:41:448776,1872
00:33:41:461034,1795
00:33:41:472837,1688
00:33:41:484648,1552
00:33:41:496826,1410
00:33:41:508783,1247
00:33:41:520661,1082
00:33:41:532346,922
00:33:41:544818,756
00:33:41:556872,618
00:33:41:567567,514
00:33:41:579873,444
00:33:41:591789,423
00:33:41:603583,423
00:33:41:615605,423
00:33:41:627874,424
00:33:41:639844,435
00:33:41:651805,469
00:33:41:663816,534
00:33:41:675834,628
00:33:41:687527,744
00:33:41:699802,872
00:33:41:711524,1029
00:33:41:724016,1208
00:33:41:735835,1384
00:33:41:747836,1575
