13:56:36:375052,23
13:56:36:387041,59
13:56:36:399038,202
13:56:36:411025,344
13:56:36:423001,372
13:56:36:435005,368
13:56:36:446966,362
13:56:36:458944,352
13:56:36:469983,342
13:56:36:481929,330
13:56:36:493951,321
13:56:36:505937,316
13:56:36:517930,315
13:56:36:529938,314
13:56:36:541933,315
13:56:36:553952,315
13:56:36:565950,315
13:56:36:577994,316
13:56:36:590066,325
13:56:36:601999,353
13:56:36:613968,378
13:56:36:625981,412
13:56:36:637951,460
13:56:36:649060,515
13:56:36:660936,574
13:56:36:673021,629
13:56:36:684974,688
13:56:36:696940,744
13:56:36:708974,784
13:56:36:720910,821
13:56:36:732919,856
13:56:36:744947,886
13:56:36:756977,911
13:56:36:769006,930
13:56:36:781139,939
13:56:36:793548,943
13:56:36:805215,944
13:56:36:817208,944
13:56:36:828439,944
13:56:36:840445,944
13:56:36:852347,944
13:56:36:864436,944
13:56:36:876461,939
13:56:36:888457,918
13:56:36:900282,888
13:56:36:912330,863
13:56:36:924134,838
13:56:36:936184,796
13:56:36:948100,750
13:56:36:960053,717
13:56:36:972109,687
13:56:36:984448,656
13:56:36:995145,625
13:56:37:007129,591
13:56:37:019139,577
13:56:37:031171,574
13:56:37:043501,574
13:56:37:055280,574
13:56:37:067110,574
13:56:37:079457,574
13:56:37:091045,574
13:56:37:103113,575
13:56:37:115228,592
13:56:37:127321,628
13:56:37:139206,663
13:56:37:151225,702
13:56:37:163345,743
13:56:37:174437,786
13:56:37:186340,827
13:56:37:197947,866
13:56:37:209988,908
13:56:37:221974,943
13:56:37:234024,971
13:56:37:245968,999
13:56:37:257985,1020
13:56:37:270016,1037
13:56:37:282394,1042
13:56:37:294465,1045
13:56:37:306292,1045
13:56:37:318715,1045
13:56:37:330442,1045
13:56:37:342678,1045
13:56:37:354410,1045
13:56:37:365219,1044
13:56:37:377471,1033
13:56:37:389762,1007
13:56:37:401094,985
13:56:37:413386,956
13:56:37:425457,910
13:56:37:437441,872
13:56:37:449523,834
13:56:37:461449,796
13:56:37:473466,761
13:56:37:485437,732
13:56:37:497437,712
13:56:37:509407,695
13:56:37:521463,686
13:56:37:533125,680
13:56:37:544436,677
13:56:37:556321,677
13:56:37:568042,677
13:56:37:580395,677
13:56:37:592447,677
13:56:37:604533,678
13:56:37:616492,685
13:56:37:628689,709
13:56:37:640040,744
13:56:37:652421,777
13:56:37:664216,816
13:56:37:676478,856
13:56:37:688544,901
13:56:37:700472,941
13:56:37:711263,976
13:56:37:723481,1009
13:56:37:735265,1041
13:56:37:747360,1059
13:56:37:759253,1081
13:56:37:771256,1093
13:56:37:783687,1098
13:56:37:795699,1100
13:56:37:807284,1100
13:56:37:819722,1101
